domain,problem,planner,runtime,makespan
blocks,p001.pddl,HSP,749,7
blocks,p001.pddl,SAT,821,7
blocks,p002.pddl,HSP,769,11
blocks,p002.pddl,SAT,876,11
blocks,p003.pddl,HSP,707,7
blocks,p003.pddl,SAT,815,7
blocks,p004.pddl,HSP,738,13
blocks,p004.pddl,SAT,1051,13
blocks,p005.pddl,HSP,795,11
blocks,p005.pddl,SAT,999,11
blocks,p006.pddl,HSP,863,17
blocks,p006.pddl,SAT,1230,17
blocks,p007.pddl,HSP,819,13
blocks,p007.pddl,SAT,1142,13
blocks,p008.pddl,HSP,843,11
blocks,p008.pddl,SAT,1170,11
blocks,p009.pddl,HSP,927,21
blocks,p009.pddl,SAT,5050,21
blocks,p010.pddl,HSP,971,21
blocks,p010.pddl,SAT,2027,21
depots,p01.pddl,HSP,874,11
depots,p01.pddl,SAT,1223,11
depots,p02.pddl,HSP,1101,16
depots,p02.pddl,SAT,9634,16
depots,p03.pddl,HSP,2142,30
depots,p03.pddl,SAT,3643772,1
depots,p04.pddl,HSP,13528,31
depots,p04.pddl,SAT,3613762,1
depots,p05.pddl,HSP,140109,45
depots,p05.pddl,SAT,3466533,1
depots,p06.pddl,HSP,746948,1
depots,p06.pddl,SAT,2114462,1
depots,p07.pddl,HSP,1749,22
depots,p07.pddl,SAT,2170765,23
depots,p08.pddl,HSP,102553,35
depots,p08.pddl,SAT,4243246,1
depots,p09.pddl,HSP,715990,1
depots,p09.pddl,SAT,3410017,1
depots,p10.pddl,HSP,3450,26
depots,p10.pddl,SAT,4683385,1
gripper,p01.pddl,HSP,898,10
gripper,p01.pddl,SAT,1006,10
gripper,p02.pddl,HSP,2436,14
gripper,p02.pddl,SAT,27995,14
gripper,p03.pddl,HSP,77582,18
gripper,p03.pddl,SAT,1210873,18
gripper,p04.pddl,HSP,8168670,24
gripper,p04.pddl,SAT,2034134,22
gripper,p05.pddl,HSP,14679251,22
gripper,p05.pddl,SAT,3038769,26

